time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-04T01:47:08.200Z,36.2724,-97.5846,5,3.1,mb_lg,,35,0.166,0.39,us,us200061zb,2016-06-04T01:56:39.114Z,"26km W of Perry, Oklahoma",earthquake,1.5,2,0.054,90,reviewed,us,us
2016-06-04T01:16:20.100Z,18.773,-65.6699,24,2.5,Md,5,273.6,0.5291077,0.34,pr,pr16156000,2016-06-04T03:55:07.117Z,"42km NNE of Vieques, Puerto Rico",earthquake,2.5,21.7,0,5,reviewed,pr,pr
2016-06-04T00:35:32.860Z,43.9793,-125.8396,10,2.8,ml,,227,1.315,1.07,us,us200061z4,2016-06-04T00:50:21.861Z,"138km W of Dunes City, Oregon",earthquake,6.2,2,0.048,58,reviewed,us,us
2016-06-03T23:10:45.520Z,-7.3255,120.1679,627.35,4.2,mb,,69,2.333,0.66,us,us200061yi,2016-06-03T23:32:03.165Z,"108km NNW of Congkar, Indonesia",earthquake,11.4,8.4,0.103,26,reviewed,us,us
2016-06-03T23:04:38.690Z,53.7488,-171.6611,65.62,4.1,mb,,150,1.408,0.76,us,us200061yd,2016-06-03T23:53:14.687Z,"140km NNW of Yunaska Island, Alaska",earthquake,9.4,5.7,0.078,45,reviewed,us,us
2016-06-03T21:53:20.220Z,54.0493,169.3853,17.48,4.3,mb,,109,3.118,1.11,us,us200061xr,2016-06-03T23:25:18.440Z,"253km ESE of Nikol'skoye, Russia",earthquake,9.4,4.8,0.068,62,reviewed,us,us
2016-06-03T21:17:37.778Z,39.586,-115.8399,13.2,3,ml,22,47.25,0.954,0.1656,nn,nn00546492,2016-06-04T04:03:19.344Z,"13km NE of Eureka, Nevada",earthquake,1.68,3.7,0.41,9,reviewed,nn,nn
2016-06-03T21:00:31.490Z,24.3489,126.4503,10,4.7,mb,,113,2.973,0.76,us,us200061x0,2016-06-03T21:20:32.779Z,"128km ESE of Hirara, Japan",earthquake,8.3,1.9,0.074,56,reviewed,us,us
2016-06-03T20:17:05.750Z,-19.9577,-63.1933,590.01,4.6,mb,,35,5.517,1.25,us,us200061vr,2016-06-03T20:54:50.161Z,"17km S of Charagua, Bolivia",earthquake,9.9,6.1,0.065,70,reviewed,us,us
2016-06-03T19:27:38.020Z,-6.8365,104.9668,54.62,4.7,mb,,142,3.171,1.33,us,us200061v8,2016-06-03T20:00:06.759Z,"73km W of Pasirnangka, Indonesia",earthquake,8,7.3,0.089,39,reviewed,us,us
2016-06-03T18:46:32.790Z,54.0619,169.2731,19.06,4.3,mb,,152,3.184,1.12,us,us200061ur,2016-06-03T21:40:57.197Z,"246km ESE of Nikol'skoye, Russia",earthquake,11.3,6.7,0.068,61,reviewed,us,us
2016-06-03T18:23:11.080Z,54.1475,169.4079,14.47,5.3,mb,,65,3.146,1.1,us,us200061ue,2016-06-04T20:27:07.000Z,"249km ESE of Nikol'skoye, Russia",earthquake,7.2,3.9,0.022,672,reviewed,us,us
2016-06-03T17:26:09.000Z,61.2562,-150.6242,44.4,2.8,ml,,,,0.67,ak,ak13630370,2016-06-03T17:59:51.727Z,"39km W of Anchorage, Alaska",earthquake,0.3,0.8,,,automatic,ak,ak
2016-06-03T15:17:00.000Z,63.2896,-151.622,7.1,2.8,ml,,,,1,ak,ak13630348,2016-06-03T16:03:01.067Z,"132km NW of Talkeetna, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-06-03T13:40:12.290Z,-49.2779,148.495,14.59,5.2,mb,,79,6.421,1.06,us,us200061nz,2016-06-04T20:22:12.000Z,"South of Tasmania",earthquake,9.4,4.8,0.076,58,reviewed,us,us
2016-06-03T11:52:36.900Z,18.7434,-64.1548,31,2.6,Md,3,345.6,0.71416065,0.05,pr,pr16155006,2016-06-03T15:07:29.248Z,"60km NE of Road Town, British Virgin Islands",earthquake,3.3,6,0,2,reviewed,pr,pr
2016-06-03T11:50:11.140Z,20.5841,120.5021,10,4.9,mb,,33,2.286,1.04,us,us200061nj,2016-06-03T12:22:55.162Z,"141km W of Itbayat, Philippines",earthquake,8.3,1.9,0.049,131,reviewed,us,us
2016-06-03T08:28:55.030Z,-16.2264,-175.8539,330.17,4.9,mb,,50,4.562,0.97,us,us200061n6,2016-06-03T08:47:45.127Z,"227km W of Hihifo, Tonga",earthquake,9.8,7.6,0.061,85,reviewed,us,us
2016-06-03T08:00:27.900Z,26.8431,130.1385,38.33,4.7,mb,,109,1.667,0.72,us,us200061n1,2016-06-03T08:19:20.218Z,"180km SSE of Naze, Japan",earthquake,8.1,3.7,0.07,62,reviewed,us,us
2016-06-03T07:19:41.815Z,39.5911,-115.8389,11.1,3.9,ml,31,59.14,0.956,0.2498,nn,nn00546432,2016-06-04T04:01:06.246Z,"13km NE of Eureka, Nevada",earthquake,1.48,2.7,0.47,21,reviewed,nn,nn
2016-06-03T07:01:20.630Z,55.4923,-158.5065,40.03,4.7,mb,,114,0.908,0.86,us,us200061mq,2016-06-03T12:32:00.738Z,"86km S of Chignik Lake, Alaska",earthquake,6.8,7.2,0.039,195,reviewed,us,us
2016-06-03T05:35:11.330Z,51.401,178.4669,100.7,4,mb,,219,2.767,0.74,us,us200061mf,2016-06-03T12:03:23.244Z,"60km S of Little Sitkin Island, Alaska",earthquake,13.8,14.1,0.077,45,reviewed,us,us
2016-06-03T04:49:07.600Z,18.5147,-67.4152,93,3,Md,8,306,0.45993743,0.27,pr,pr16155003,2016-06-03T08:06:55.686Z,"26km NW of Rincon, Puerto Rico",earthquake,7.2,4.1,0,3,reviewed,pr,pr
2016-06-03T04:12:26.620Z,-16.927,-70.3823,47.7,4.5,mb,,142,1.085,0.71,us,us200061m7,2016-06-03T04:43:18.395Z,"25km N of Pujocucho, Peru",earthquake,8.2,12.7,0.14,15,reviewed,us,us
2016-06-03T02:59:31.700Z,17.9071,-66.89,15,2.5,Md,13,226.8,0.06737365,0.1,pr,pr16155000,2016-06-03T03:26:11.437Z,"7km SSE of Guanica, Puerto Rico",earthquake,0.8,0.6,0,8,reviewed,pr,pr
2016-06-03T02:55:28.100Z,19.0944,-64.0418,31,3.3,Md,9,334.8,1.02677437,0.33,pr,pr16155001,2016-06-03T03:46:26.650Z,"96km NE of Road Town, British Virgin Islands",earthquake,5.7,24.6,0,6,reviewed,pr,pr
2016-06-03T02:55:14.950Z,35.7164,138.1111,200.22,4.2,mb,,79,0.626,0.79,us,us200061lx,2016-06-03T04:02:35.719Z,"18km SE of Ina, Japan",earthquake,4,5.6,0.112,22,reviewed,us,us
2016-06-03T02:46:52.000Z,59.3713,-144.9468,14.3,3.3,ml,,,,0.72,ak,ak13627980,2016-06-03T03:25:08.760Z,"78km E of Middleton Island, Alaska",earthquake,0.7,0.6,,,automatic,ak,ak
2016-06-03T01:35:07.000Z,61.6721,-151.3909,70,2.9,ml,,,,0.49,ak,ak13627969,2016-06-03T02:31:43.116Z,"72km W of Willow, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-06-03T00:38:13.000Z,59.5971,-153.442,120.9,2.5,ml,,,,0.46,ak,ak13627957,2016-06-03T01:06:07.628Z,"84km E of Old Iliamna, Alaska",earthquake,0.8,0.6,,,automatic,ak,ak
